"","aY","aZ","pfxX","pfxZ","pX","pZ","vX0","vY0","vZ0","x","y","x0","z0","aX","breakAngle","breakLength","spinRate","spinDirection","pitcherName","startSpeed","endSpeed","season"
"1",3,3,2,3,4,1,4,4,1,2,5,2,4,2,2,4,1,4,"Chris Archer",2,2,17
"2",4,3,2,3,3,3,4,4,3,3,3,2,4,2,2,3,2,4,"Chris Archer",2,2,17
"3",4,3,2,4,2,3,3,3,3,4,3,2,4,2,3,3,1,4,"Chris Archer",3,2,17
"4",5,3,2,4,2,3,3,3,3,4,3,2,4,2,3,3,1,4,"Chris Archer",3,2,17
"5",4,3,2,3,3,2,4,3,2,3,4,2,4,2,4,4,3,4,"Chris Archer",3,3,17
"6",4,3,2,3,2,2,4,3,2,4,4,2,4,2,3,3,2,4,"Chris Archer",3,3,17
"7",4,4,3,4,2,5,3,3,4,4,1,2,4,3,1,2,2,3,"Chris Archer",4,3,17
"8",4,3,3,3,2,5,3,3,4,4,1,2,4,3,2,3,2,3,"Chris Archer",3,3,17
"9",4,3,3,3,4,4,4,3,3,2,2,2,4,3,2,3,2,3,"Chris Archer",3,3,17
"10",4,3,2,3,2,4,3,2,3,4,2,2,4,2,2,3,2,4,"Chris Archer",4,3,17
"11",4,5,3,5,5,2,4,3,1,1,4,2,4,3,1,2,2,3,"Chris Archer",3,3,17
"12",3,3,2,3,2,3,3,3,3,4,3,2,4,2,3,3,2,4,"Chris Archer",3,2,17
"13",4,3,2,3,1,5,3,3,5,5,1,2,5,2,3,3,2,4,"Chris Archer",3,3,17
"14",4,3,2,3,2,3,4,3,3,4,3,2,4,2,3,3,2,4,"Chris Archer",3,3,17
"15",5,4,2,4,3,4,3,2,3,3,2,2,4,3,3,2,2,3,"Chris Archer",4,3,17
"16",4,3,2,2,4,3,4,2,2,2,3,3,4,2,2,3,2,4,"Chris Archer",4,3,17
"17",4,4,2,4,4,1,4,4,1,2,5,2,4,3,2,3,2,3,"Chris Archer",2,2,17
"18",5,4,2,4,3,1,4,3,1,3,5,2,3,2,4,3,2,4,"Chris Archer",3,3,17
"19",4,4,3,4,4,1,4,3,1,2,5,2,4,3,2,3,2,3,"Chris Archer",4,3,17
"20",3,4,2,4,2,1,4,3,1,4,5,2,4,2,3,3,2,4,"Chris Archer",3,4,17
"21",3,3,2,3,3,1,4,3,1,3,5,2,4,2,2,3,1,4,"Chris Archer",3,3,17
"22",3,2,2,2,3,2,4,3,2,3,4,2,4,2,3,4,1,4,"Chris Archer",3,3,17
"23",4,2,2,3,3,1,4,3,2,3,5,2,4,2,3,4,2,4,"Chris Archer",3,3,17
"24",4,4,3,4,5,3,4,2,2,1,3,3,4,3,2,2,2,3,"Chris Archer",4,3,17
"25",3,4,2,4,5,1,4,3,1,1,5,3,4,2,3,3,2,4,"Chris Archer",3,3,17
"26",4,3,3,3,2,1,3,4,2,4,5,2,4,3,2,3,1,4,"Chris Archer",2,2,17
"27",5,3,2,3,5,4,4,3,3,1,2,2,4,2,2,3,2,4,"Chris Archer",3,2,17
"28",5,2,2,2,1,1,3,3,2,5,5,2,3,2,3,4,2,4,"Chris Archer",3,3,17
"29",4,2,2,2,2,2,4,3,2,4,4,2,4,2,3,4,1,4,"Chris Archer",3,3,17
"30",4,3,2,3,3,5,4,4,5,3,1,2,4,2,3,3,2,4,"Chris Archer",3,2,17
"31",5,4,2,4,2,5,3,3,3,4,1,2,4,2,4,3,3,4,"Chris Archer",3,3,17
"32",4,4,2,4,5,1,4,2,1,1,5,3,3,2,3,3,3,4,"Chris Archer",4,4,17
"33",3,4,2,4,1,4,3,4,3,5,2,2,4,2,3,3,1,4,"Chris Archer",2,2,17
"34",3,3,2,4,2,5,3,4,4,4,1,2,4,2,3,3,2,4,"Chris Archer",2,2,17
"35",3,4,2,4,2,2,3,4,2,4,4,2,4,2,3,3,1,4,"Chris Archer",2,2,17
"36",4,3,2,3,2,5,3,3,5,4,1,2,4,3,2,3,2,4,"Chris Archer",3,3,17
"37",5,3,3,3,5,4,4,2,3,1,2,3,4,3,1,3,2,3,"Chris Archer",4,3,17
"38",4,3,3,3,4,3,4,3,3,2,3,2,4,3,1,3,2,3,"Chris Archer",3,3,17
"39",4,3,2,3,2,3,3,3,3,4,3,2,4,2,2,3,1,4,"Chris Archer",3,3,17
